Cell Id,Nuc X,Nuc Y Inv,region_num,unique_region,leiden
1@1,62349.9765625,-182231.28125,15,hbm/4_ROI-10,0
2@1,60799.26171875,-182237.765625,15,hbm/4_ROI-10,14
3@1,59610.41796875,-182241.21875,15,hbm/4_ROI-10,14
4@1,60273.8828125,-182240.53125,15,hbm/4_ROI-10,8
5@1,60969.0625,-182240.484375,15,hbm/4_ROI-10,24
6@1,61123.234375,-182241.21875,15,hbm/4_ROI-10,26
7@1,60495.63671875,-182246.515625,15,hbm/4_ROI-10,8
8@1,60749.83203125,-182243.75,15,hbm/4_ROI-10,14
9@1,60863.3046875,-182243.875,15,hbm/4_ROI-10,14
10@1,60903.56640625,-182244.828125,15,hbm/4_ROI-10,22
11@1,61185.5859375,-182244.953125,15,hbm/4_ROI-10,14
12@1,62083.640625,-182247.90625,15,hbm/4_ROI-10,25
13@1,62410.59765625,-182242.890625,15,hbm/4_ROI-10,8
14@1,59683.09765625,-182247.3125,15,hbm/4_ROI-10,14
15@1,60403.7265625,-182249.390625,15,hbm/4_ROI-10,14
16@1,60699.7734375,-182252.640625,15,hbm/4_ROI-10,14
17@1,61012.5,-182248.9375,15,hbm/4_ROI-10,21
18@1,59783.484375,-182254.078125,15,hbm/4_ROI-10,3
19@1,60440.8828125,-182254.171875,15,hbm/4_ROI-10,8
20@1,61063.66015625,-182255.53125,15,hbm/4_ROI-10,8
21@1,61239.34375,-182254.265625,15,hbm/4_ROI-10,14
22@1,61314.3046875,-182250.921875,15,hbm/4_ROI-10,14
23@1,62149.4296875,-182256.6875,15,hbm/4_ROI-10,26
24@1,62200.5703125,-182253.84375,15,hbm/4_ROI-10,14
25@1,59520.60546875,-182253.734375,15,hbm/4_ROI-10,14
26@1,59653.19921875,-182263.0625,15,hbm/4_ROI-10,22
27@1,61281.125,-182262.9375,15,hbm/4_ROI-10,14
28@1,59482.59765625,-182267.125,15,hbm/4_ROI-10,14
29@1,60367.06640625,-182267.4375,15,hbm/4_ROI-10,22
30@1,60625.39453125,-182266.203125,15,hbm/4_ROI-10,8
31@1,61150.234375,-182270.25,15,hbm/4_ROI-10,24
32@1,60797.640625,-182273.921875,15,hbm/4_ROI-10,14
33@1,60520.57421875,-182274.625,15,hbm/4_ROI-10,8
34@1,62054.921875,-182278.171875,15,hbm/4_ROI-10,14
35@1,59584.3671875,-182280.984375,15,hbm/4_ROI-10,14
36@1,59833.90234375,-182280.71875,15,hbm/4_ROI-10,21
37@1,60902.5625,-182280.4375,15,hbm/4_ROI-10,21
38@1,59925.32421875,-182283.390625,15,hbm/4_ROI-10,14
39@1,62120.88671875,-182280.09375,15,hbm/4_ROI-10,3
40@1,62351.69140625,-182284.578125,15,hbm/4_ROI-10,0
41@1,59682.1015625,-182300.703125,15,hbm/4_ROI-10,14
42@1,60463.4453125,-182286.875,15,hbm/4_ROI-10,24
43@1,61001.3125,-182291.109375,15,hbm/4_ROI-10,14
44@1,61114.1953125,-182289.84375,15,hbm/4_ROI-10,24
45@1,60573.96875,-182298.8125,15,hbm/4_ROI-10,14
46@1,60687.99609375,-182296.1875,15,hbm/4_ROI-10,8
47@1,62096.5390625,-182294.546875,15,hbm/4_ROI-10,25
48@1,60413.73046875,-182295.734375,15,hbm/4_ROI-10,21
49@1,59653.203125,-182298.09375,15,hbm/4_ROI-10,22
50@1,59765.578125,-182301.578125,15,hbm/4_ROI-10,14
51@1,60333.5390625,-182302.140625,15,hbm/4_ROI-10,0
52@1,60772.87890625,-182306.578125,15,hbm/4_ROI-10,14
53@1,61235.75,-182300.03125,15,hbm/4_ROI-10,8
54@1,59503.84375,-182306.796875,15,hbm/4_ROI-10,24
55@1,59552.734375,-182307.46875,15,hbm/4_ROI-10,22
56@1,61063.2421875,-182305.109375,15,hbm/4_ROI-10,31
57@1,61172.16015625,-182308.53125,15,hbm/4_ROI-10,24
58@1,59617.3359375,-182311.453125,15,hbm/4_ROI-10,8
59@1,60951.08984375,-182313.484375,15,hbm/4_ROI-10,14
60@1,61349.47265625,-182310.84375,15,hbm/4_ROI-10,22
61@1,62032.33203125,-182307.90625,15,hbm/4_ROI-10,14
62@1,59435.6796875,-182312.09375,15,hbm/4_ROI-10,14
63@1,60846.30859375,-182314.390625,15,hbm/4_ROI-10,14
64@1,60632.62890625,-182317.90625,15,hbm/4_ROI-10,14
65@1,59724.35546875,-182331.578125,15,hbm/4_ROI-10,14
66@1,59832.5,-182323.0,15,hbm/4_ROI-10,21
67@1,60905.4375,-182329.375,15,hbm/4_ROI-10,21
68@1,61305.578125,-182327.65625,15,hbm/4_ROI-10,14
69@1,60475.93359375,-182338.140625,15,hbm/4_ROI-10,22
70@1,60989.0,-182335.546875,15,hbm/4_ROI-10,3
71@1,62533.953125,-182338.890625,15,hbm/4_ROI-10,14
72@1,59543.34765625,-182340.71875,15,hbm/4_ROI-10,14
73@1,60681.96875,-182339.609375,15,hbm/4_ROI-10,8
74@1,59648.34765625,-182345.0625,15,hbm/4_ROI-10,8
75@1,60402.20703125,-182344.75,15,hbm/4_ROI-10,8
76@1,60713.8984375,-182341.5,15,hbm/4_ROI-10,14
77@1,60830.2265625,-182350.4375,15,hbm/4_ROI-10,14
78@1,61028.35546875,-182340.0625,15,hbm/4_ROI-10,21
79@1,61962.828125,-182343.28125,15,hbm/4_ROI-10,14
80@1,62163.15234375,-182344.015625,15,hbm/4_ROI-10,26
81@1,59773.28125,-182344.203125,15,hbm/4_ROI-10,24
82@1,60532.921875,-182347.328125,15,hbm/4_ROI-10,3
83@1,61681.60546875,-182346.734375,15,hbm/4_ROI-10,14
84@1,60759.4375,-182348.0625,15,hbm/4_ROI-10,14
85@1,61128.5390625,-182346.046875,15,hbm/4_ROI-10,14
86@1,62105.44140625,-182340.5625,15,hbm/4_ROI-10,14
87@1,60949.1640625,-182347.96875,15,hbm/4_ROI-10,14
88@1,59596.03125,-182353.59375,15,hbm/4_ROI-10,24
89@1,62506.80859375,-182355.21875,15,hbm/4_ROI-10,14
90@1,61362.49609375,-182355.265625,15,hbm/4_ROI-10,24
91@1,61889.16015625,-182356.0625,15,hbm/4_ROI-10,21
92@1,59812.07421875,-182358.890625,15,hbm/4_ROI-10,24
93@1,61729.74609375,-182360.5,15,hbm/4_ROI-10,8
94@1,61246.5234375,-182359.671875,15,hbm/4_ROI-10,14
95@1,59687.67578125,-182364.390625,15,hbm/4_ROI-10,8
96@1,60610.16796875,-182368.21875,15,hbm/4_ROI-10,8
97@1,60657.6015625,-182373.953125,15,hbm/4_ROI-10,14
98@1,61162.99609375,-182371.1875,15,hbm/4_ROI-10,14
99@1,59546.26171875,-182374.734375,15,hbm/4_ROI-10,24
100@1,62208.72265625,-182378.859375,15,hbm/4_ROI-10,25
101@1,59778.42578125,-182382.359375,15,hbm/4_ROI-10,14
102@1,62607.25,-182382.640625,15,hbm/4_ROI-10,0
103@1,59850.40234375,-182384.3125,15,hbm/4_ROI-10,28
104@1,60515.58984375,-182388.046875,15,hbm/4_ROI-10,0
105@1,61054.04296875,-182388.9375,15,hbm/4_ROI-10,14
106@1,62134.55078125,-182391.5,15,hbm/4_ROI-10,25
107@1,62513.2578125,-182388.0,15,hbm/4_ROI-10,0
108@1,60769.42578125,-182389.15625,15,hbm/4_ROI-10,30
109@1,60811.4609375,-182389.6875,15,hbm/4_ROI-10,14
110@1,60930.01171875,-182389.046875,15,hbm/4_ROI-10,14
111@1,61935.26171875,-182394.609375,15,hbm/4_ROI-10,21
112@1,61752.65625,-182395.421875,15,hbm/4_ROI-10,8
113@1,60581.84765625,-182389.125,15,hbm/4_ROI-10,22
114@1,61830.0234375,-182397.46875,15,hbm/4_ROI-10,14
115@1,62106.84765625,-182397.96875,15,hbm/4_ROI-10,14
116@1,59686.36328125,-182399.765625,15,hbm/4_ROI-10,22
117@1,59730.59765625,-182396.984375,15,hbm/4_ROI-10,21
118@1,61171.140625,-182401.046875,15,hbm/4_ROI-10,14
119@1,61978.265625,-182397.8125,15,hbm/4_ROI-10,8
120@1,61135.7421875,-182402.109375,15,hbm/4_ROI-10,21
121@1,60638.9140625,-182405.90625,15,hbm/4_ROI-10,21
122@1,60970.39453125,-182396.953125,15,hbm/4_ROI-10,14
123@1,61009.72265625,-182407.0625,15,hbm/4_ROI-10,21
124@1,62306.0546875,-182406.75,15,hbm/4_ROI-10,14
125@1,61241.5703125,-182409.25,15,hbm/4_ROI-10,14
126@1,60899.00390625,-182409.28125,15,hbm/4_ROI-10,14
127@1,60857.3515625,-182407.40625,15,hbm/4_ROI-10,14
128@1,59868.92578125,-182420.859375,15,hbm/4_ROI-10,22
129@1,62078.26171875,-182421.21875,15,hbm/4_ROI-10,14
130@1,61620.51953125,-182425.09375,15,hbm/4_ROI-10,14
131@1,61713.20703125,-182422.046875,15,hbm/4_ROI-10,8
132@1,62027.046875,-182421.015625,15,hbm/4_ROI-10,14
133@1,61892.19140625,-182424.34375,15,hbm/4_ROI-10,31
134@1,61086.125,-182429.546875,15,hbm/4_ROI-10,14
135@1,61671.29296875,-182431.703125,15,hbm/4_ROI-10,14
136@1,59769.60546875,-182429.796875,15,hbm/4_ROI-10,14
137@1,60782.43359375,-182430.984375,15,hbm/4_ROI-10,14
138@1,62145.9140625,-182432.34375,15,hbm/4_ROI-10,8
139@1,59268.4921875,-182435.328125,15,hbm/4_ROI-10,0
140@1,60497.0703125,-182435.53125,15,hbm/4_ROI-10,8
141@1,62435.44921875,-182436.640625,15,hbm/4_ROI-10,14
142@1,62244.58984375,-182434.640625,15,hbm/4_ROI-10,14
143@1,60642.3515625,-182446.109375,15,hbm/4_ROI-10,14
144@1,60555.69140625,-182451.09375,15,hbm/4_ROI-10,14
145@1,60876.8515625,-182450.140625,15,hbm/4_ROI-10,14
146@1,60926.62109375,-182450.34375,15,hbm/4_ROI-10,14
147@1,61130.6796875,-182451.515625,15,hbm/4_ROI-10,14
148@1,61219.32421875,-182452.734375,15,hbm/4_ROI-10,14
149@1,61434.0078125,-182448.8125,15,hbm/4_ROI-10,0
150@1,59835.328125,-182459.484375,15,hbm/4_ROI-10,22
151@1,61773.06640625,-182456.453125,15,hbm/4_ROI-10,14
152@1,60842.8125,-182459.375,15,hbm/4_ROI-10,31
153@1,61723.37109375,-182458.65625,15,hbm/4_ROI-10,8
154@1,61818.32421875,-182460.890625,15,hbm/4_ROI-10,14
155@1,61921.58984375,-182465.5,15,hbm/4_ROI-10,8
156@1,62101.4921875,-182459.671875,15,hbm/4_ROI-10,8
157@1,59884.953125,-182463.921875,15,hbm/4_ROI-10,21
158@1,60423.9453125,-182467.265625,15,hbm/4_ROI-10,14
159@1,61542.3671875,-182472.921875,15,hbm/4_ROI-10,0
160@1,62608.19140625,-182465.015625,15,hbm/4_ROI-10,14
161@1,60694.58203125,-182476.0625,15,hbm/4_ROI-10,30
162@1,60728.31640625,-182472.921875,15,hbm/4_ROI-10,30
163@1,60804.328125,-182464.296875,15,hbm/4_ROI-10,31
164@1,61049.72265625,-182470.4375,15,hbm/4_ROI-10,20
165@1,61955.859375,-182469.796875,15,hbm/4_ROI-10,14
166@1,60534.72265625,-182473.65625,15,hbm/4_ROI-10,14
167@1,61883.1640625,-182472.4375,15,hbm/4_ROI-10,8
168@1,59765.52734375,-182476.5,15,hbm/4_ROI-10,21
169@1,60764.515625,-182479.703125,15,hbm/4_ROI-10,14
170@1,61093.0703125,-182483.125,15,hbm/4_ROI-10,21
171@1,61267.70703125,-182484.734375,15,hbm/4_ROI-10,8
172@1,60656.3046875,-182485.984375,15,hbm/4_ROI-10,3
173@1,61328.2578125,-182484.5,15,hbm/4_ROI-10,8
174@1,61582.7421875,-182484.09375,15,hbm/4_ROI-10,22
175@1,61678.44921875,-182482.9375,15,hbm/4_ROI-10,14
176@1,61627.3984375,-182492.828125,15,hbm/4_ROI-10,14
177@1,61859.1015625,-182493.546875,15,hbm/4_ROI-10,8
178@1,60851.15625,-182494.328125,15,hbm/4_ROI-10,31
179@1,60889.46484375,-182496.296875,15,hbm/4_ROI-10,14
180@1,61133.83984375,-182494.96875,15,hbm/4_ROI-10,14
181@1,60572.8515625,-182498.359375,15,hbm/4_ROI-10,14
182@1,61367.078125,-182502.15625,15,hbm/4_ROI-10,14
183@1,61816.76171875,-182501.671875,15,hbm/4_ROI-10,14
184@1,60437.37109375,-182507.125,15,hbm/4_ROI-10,14
185@1,62341.20703125,-182494.234375,15,hbm/4_ROI-10,14
186@1,59837.08984375,-182512.046875,15,hbm/4_ROI-10,8
187@1,60407.1640625,-182512.8125,15,hbm/4_ROI-10,14
188@1,61766.1328125,-182515.671875,15,hbm/4_ROI-10,14
189@1,61281.59375,-182517.1875,15,hbm/4_ROI-10,22
190@1,62235.36328125,-182514.0625,15,hbm/4_ROI-10,14
191@1,60721.51953125,-182519.84375,15,hbm/4_ROI-10,14
192@1,61094.6171875,-182520.421875,15,hbm/4_ROI-10,14
193@1,61707.78125,-182522.9375,15,hbm/4_ROI-10,14
194@1,62418.5,-182521.578125,15,hbm/4_ROI-10,14
195@1,61437.83984375,-182524.84375,15,hbm/4_ROI-10,8
196@1,60633.48046875,-182526.90625,15,hbm/4_ROI-10,8
197@1,61333.6328125,-182527.125,15,hbm/4_ROI-10,8
198@1,61897.0546875,-182515.15625,15,hbm/4_ROI-10,8
199@1,59977.73828125,-182531.28125,15,hbm/4_ROI-10,0
200@1,60684.7421875,-182527.640625,15,hbm/4_ROI-10,14
201@1,60025.33984375,-182536.671875,15,hbm/4_ROI-10,8
202@1,60922.953125,-182533.609375,15,hbm/4_ROI-10,14
203@1,61048.453125,-182530.359375,15,hbm/4_ROI-10,20
204@1,60440.875,-182535.1875,15,hbm/4_ROI-10,14
205@1,61461.3125,-182537.015625,15,hbm/4_ROI-10,8
206@1,60470.65625,-182540.40625,15,hbm/4_ROI-10,31
207@1,61175.73828125,-182538.421875,15,hbm/4_ROI-10,14
