Cell Id,Nuc X,Nuc Y Inv,region_num,unique_region,leiden
1@1,115710.59375,-222537.4375,13,hbm/6_ROI-19,20
2@1,116087.7890625,-222539.90625,13,hbm/6_ROI-19,20
3@1,116889.4296875,-222536.96875,13,hbm/6_ROI-19,20
4@1,114000.6796875,-222542.296875,13,hbm/6_ROI-19,20
5@1,114520.3515625,-222540.25,13,hbm/6_ROI-19,20
6@1,115474.5234375,-222539.46875,13,hbm/6_ROI-19,20
7@1,116250.515625,-222541.734375,13,hbm/6_ROI-19,20
8@1,117334.6875,-222540.125,13,hbm/6_ROI-19,20
9@1,117369.6171875,-222540.359375,13,hbm/6_ROI-19,20
10@1,117579.109375,-222541.40625,13,hbm/6_ROI-19,20
11@1,115600.3671875,-222542.515625,13,hbm/6_ROI-19,20
12@1,115666.09375,-222545.375,13,hbm/6_ROI-19,20
13@1,115755.8828125,-222542.453125,13,hbm/6_ROI-19,20
14@1,115837.796875,-222543.78125,13,hbm/6_ROI-19,20
15@1,116157.453125,-222545.0,13,hbm/6_ROI-19,20
16@1,116447.9453125,-222542.5,13,hbm/6_ROI-19,20
17@1,116825.953125,-222545.40625,13,hbm/6_ROI-19,20
18@1,117409.578125,-222542.75,13,hbm/6_ROI-19,20
19@1,117537.5703125,-222543.859375,13,hbm/6_ROI-19,20
20@1,117219.546875,-222547.171875,13,hbm/6_ROI-19,20
21@1,113957.421875,-222548.046875,13,hbm/6_ROI-19,21
22@1,114135.2734375,-222548.15625,13,hbm/6_ROI-19,20
23@1,115113.65625,-222551.453125,13,hbm/6_ROI-19,20
24@1,115532.5078125,-222547.703125,13,hbm/6_ROI-19,20
25@1,117273.4921875,-222549.875,13,hbm/6_ROI-19,20
26@1,117454.6484375,-222548.078125,13,hbm/6_ROI-19,20
27@1,117624.0625,-222557.703125,13,hbm/6_ROI-19,20
28@1,114060.609375,-222553.3125,13,hbm/6_ROI-19,20
29@1,116731.2890625,-222553.015625,13,hbm/6_ROI-19,20
30@1,117874.078125,-222554.375,13,hbm/6_ROI-19,0
31@1,115176.90625,-222568.15625,13,hbm/6_ROI-19,20
32@1,115241.1328125,-222561.34375,13,hbm/6_ROI-19,21
33@1,115286.6328125,-222557.703125,13,hbm/6_ROI-19,20
34@1,115803.9921875,-222555.15625,13,hbm/6_ROI-19,20
35@1,117305.484375,-222558.96875,13,hbm/6_ROI-19,9
36@1,117497.890625,-222560.53125,13,hbm/6_ROI-19,20
37@1,115204.609375,-222565.484375,13,hbm/6_ROI-19,20
38@1,116032.8203125,-222564.75,13,hbm/6_ROI-19,20
39@1,116672.484375,-222562.828125,13,hbm/6_ROI-19,20
40@1,115623.9765625,-222567.03125,13,hbm/6_ROI-19,20
41@1,114510.3203125,-222568.75,13,hbm/6_ROI-19,20
42@1,115483.8359375,-222569.109375,13,hbm/6_ROI-19,20
43@1,116076.328125,-222568.984375,13,hbm/6_ROI-19,20
44@1,116270.2734375,-222570.09375,13,hbm/6_ROI-19,20
45@1,116851.3203125,-222570.265625,13,hbm/6_ROI-19,20
46@1,114542.5390625,-222571.796875,13,hbm/6_ROI-19,20
47@1,115699.453125,-222570.5625,13,hbm/6_ROI-19,20
48@1,115323.6015625,-222575.15625,13,hbm/6_ROI-19,20
49@1,116218.328125,-222576.421875,13,hbm/6_ROI-19,20
50@1,117847.984375,-222569.984375,13,hbm/6_ROI-19,0
51@1,115147.2578125,-222580.15625,13,hbm/6_ROI-19,20
52@1,115733.90625,-222579.296875,13,hbm/6_ROI-19,20
53@1,115845.9140625,-222577.671875,13,hbm/6_ROI-19,20
54@1,117531.328125,-222579.09375,13,hbm/6_ROI-19,20
55@1,117656.7265625,-222578.421875,13,hbm/6_ROI-19,20
56@1,117589.5546875,-222583.53125,13,hbm/6_ROI-19,20
57@1,115988.2890625,-222584.0625,13,hbm/6_ROI-19,20
58@1,114001.3671875,-222584.90625,13,hbm/6_ROI-19,20
59@1,115450.71875,-222585.859375,13,hbm/6_ROI-19,20
60@1,117449.9765625,-222586.5625,13,hbm/6_ROI-19,20
61@1,114135.40625,-222586.984375,13,hbm/6_ROI-19,20
62@1,117350.6875,-222590.859375,13,hbm/6_ROI-19,20
63@1,116140.6171875,-222592.21875,13,hbm/6_ROI-19,20
64@1,116806.59375,-222591.640625,13,hbm/6_ROI-19,20
65@1,117693.6171875,-222593.90625,13,hbm/6_ROI-19,31
66@1,115262.4609375,-222595.75,13,hbm/6_ROI-19,20
67@1,117303.109375,-222594.5625,13,hbm/6_ROI-19,20
68@1,115928.8984375,-222598.6875,13,hbm/6_ROI-19,20
69@1,116254.15625,-222596.75,13,hbm/6_ROI-19,14
70@1,117403.640625,-222598.640625,13,hbm/6_ROI-19,20
71@1,113889.3359375,-222601.34375,13,hbm/6_ROI-19,20
72@1,115787.4375,-222603.078125,13,hbm/6_ROI-19,20
73@1,115881.6640625,-222599.765625,13,hbm/6_ROI-19,20
74@1,115417.6796875,-222604.453125,13,hbm/6_ROI-19,20
75@1,115631.640625,-222602.796875,13,hbm/6_ROI-19,20
76@1,115736.75,-222604.984375,13,hbm/6_ROI-19,20
77@1,114161.578125,-222606.484375,13,hbm/6_ROI-19,20
78@1,115115.7421875,-222602.96875,13,hbm/6_ROI-19,20
79@1,117732.4765625,-222607.703125,13,hbm/6_ROI-19,20
80@1,115597.171875,-222610.65625,13,hbm/6_ROI-19,20
81@1,116757.0234375,-222609.46875,13,hbm/6_ROI-19,20
82@1,114118.921875,-222613.390625,13,hbm/6_ROI-19,20
83@1,114535.0625,-222613.609375,13,hbm/6_ROI-19,20
84@1,116072.390625,-222612.453125,13,hbm/6_ROI-19,20
85@1,117645.7109375,-222612.734375,13,hbm/6_ROI-19,20
86@1,115168.7734375,-222613.84375,13,hbm/6_ROI-19,20
87@1,115219.2578125,-222614.09375,13,hbm/6_ROI-19,20
88@1,115529.5859375,-222617.125,13,hbm/6_ROI-19,20
89@1,116864.5078125,-222624.453125,13,hbm/6_ROI-19,20
90@1,117247.890625,-222615.390625,13,hbm/6_ROI-19,20
91@1,117807.09375,-222616.890625,13,hbm/6_ROI-19,20
92@1,116024.578125,-222615.6875,13,hbm/6_ROI-19,20
93@1,115375.09375,-222623.90625,13,hbm/6_ROI-19,20
94@1,116231.7578125,-222620.875,13,hbm/6_ROI-19,20
95@1,116684.2421875,-222618.0625,13,hbm/6_ROI-19,20
96@1,113958.0703125,-222624.140625,13,hbm/6_ROI-19,20
97@1,115465.59375,-222623.703125,13,hbm/6_ROI-19,20
98@1,116108.9375,-222623.46875,13,hbm/6_ROI-19,20
99@1,116317.390625,-222623.328125,13,hbm/6_ROI-19,20
100@1,115299.5859375,-222629.078125,13,hbm/6_ROI-19,20
101@1,115972.0625,-222637.015625,13,hbm/6_ROI-19,20
102@1,116166.4453125,-222629.1875,13,hbm/6_ROI-19,20
103@1,115749.6328125,-222631.171875,13,hbm/6_ROI-19,20
104@1,116893.9140625,-222626.203125,13,hbm/6_ROI-19,20
105@1,117303.4921875,-222634.828125,13,hbm/6_ROI-19,20
106@1,117381.484375,-222633.234375,13,hbm/6_ROI-19,20
107@1,117865.46875,-222636.546875,13,hbm/6_ROI-19,20
108@1,115786.0546875,-222636.828125,13,hbm/6_ROI-19,21
109@1,115896.5703125,-222637.125,13,hbm/6_ROI-19,20
110@1,116422.796875,-222640.484375,13,hbm/6_ROI-19,20
111@1,116634.8125,-222642.203125,13,hbm/6_ROI-19,0
112@1,115629.21875,-222643.984375,13,hbm/6_ROI-19,20
113@1,117838.546875,-222643.984375,13,hbm/6_ROI-19,20
114@1,114548.8046875,-222648.09375,13,hbm/6_ROI-19,20
115@1,115146.5390625,-222648.703125,13,hbm/6_ROI-19,20
116@1,115330.7734375,-222643.90625,13,hbm/6_ROI-19,20
117@1,115729.5,-222647.015625,13,hbm/6_ROI-19,20
118@1,117695.7109375,-222650.53125,13,hbm/6_ROI-19,20
119@1,117810.109375,-222647.671875,13,hbm/6_ROI-19,31
120@1,114522.3828125,-222647.859375,13,hbm/6_ROI-19,20
121@1,115406.1953125,-222647.96875,13,hbm/6_ROI-19,20
122@1,117663.0859375,-222648.46875,13,hbm/6_ROI-19,21
123@1,114162.40625,-222652.609375,13,hbm/6_ROI-19,20
124@1,115552.0390625,-222650.453125,13,hbm/6_ROI-19,20
125@1,114100.609375,-222657.078125,13,hbm/6_ROI-19,20
126@1,117333.671875,-222653.8125,13,hbm/6_ROI-19,20
127@1,113918.8359375,-222657.390625,13,hbm/6_ROI-19,20
128@1,117886.9609375,-222657.796875,13,hbm/6_ROI-19,20
129@1,115255.3125,-222658.34375,13,hbm/6_ROI-19,20
130@1,115363.09375,-222660.3125,13,hbm/6_ROI-19,20
131@1,116774.484375,-222660.828125,13,hbm/6_ROI-19,20
132@1,115176.421875,-222659.671875,13,hbm/6_ROI-19,20
133@1,115213.6171875,-222661.1875,13,hbm/6_ROI-19,20
134@1,115465.75,-222663.296875,13,hbm/6_ROI-19,20
135@1,116311.703125,-222663.109375,13,hbm/6_ROI-19,20
136@1,117773.796875,-222663.171875,13,hbm/6_ROI-19,20
137@1,115694.8984375,-222668.90625,13,hbm/6_ROI-19,20
138@1,116241.265625,-222667.09375,13,hbm/6_ROI-19,21
139@1,115591.84375,-222668.953125,13,hbm/6_ROI-19,20
140@1,114576.59375,-222671.921875,13,hbm/6_ROI-19,20
141@1,115497.140625,-222676.453125,13,hbm/6_ROI-19,20
142@1,115934.5703125,-222677.3125,13,hbm/6_ROI-19,20
143@1,116700.1171875,-222672.703125,13,hbm/6_ROI-19,20
144@1,116653.6171875,-222677.171875,13,hbm/6_ROI-19,20
145@1,115745.296875,-222679.859375,13,hbm/6_ROI-19,20
146@1,115810.1171875,-222680.875,13,hbm/6_ROI-19,20
147@1,117278.875,-222681.375,13,hbm/6_ROI-19,20
148@1,117829.890625,-222683.890625,13,hbm/6_ROI-19,20
149@1,115341.234375,-222687.15625,13,hbm/6_ROI-19,20
150@1,115383.0,-222687.734375,13,hbm/6_ROI-19,20
151@1,116351.5625,-222688.046875,13,hbm/6_ROI-19,20
152@1,114876.3046875,-222690.5625,13,hbm/6_ROI-19,0
153@1,117985.4296875,-222689.28125,13,hbm/6_ROI-19,20
154@1,117718.2734375,-222692.5,13,hbm/6_ROI-19,20
155@1,113929.3984375,-222689.28125,13,hbm/6_ROI-19,20
156@1,114107.609375,-222692.84375,13,hbm/6_ROI-19,20
157@1,114142.40625,-222695.8125,13,hbm/6_ROI-19,20
158@1,114509.734375,-222693.578125,13,hbm/6_ROI-19,20
159@1,114560.9140625,-222693.734375,13,hbm/6_ROI-19,20
160@1,115443.984375,-222695.328125,13,hbm/6_ROI-19,20
161@1,116271.78125,-222691.0,13,hbm/6_ROI-19,20
162@1,115267.1875,-222695.21875,13,hbm/6_ROI-19,20
163@1,115665.046875,-222697.71875,13,hbm/6_ROI-19,20
164@1,116745.40625,-222698.703125,13,hbm/6_ROI-19,20
165@1,117331.875,-222688.53125,13,hbm/6_ROI-19,20
166@1,115306.875,-222700.765625,13,hbm/6_ROI-19,20
167@1,115625.9453125,-222700.3125,13,hbm/6_ROI-19,20
168@1,115091.671875,-222707.140625,13,hbm/6_ROI-19,20
169@1,115527.796875,-222707.46875,13,hbm/6_ROI-19,20
170@1,118032.03125,-222705.40625,13,hbm/6_ROI-19,20
171@1,118075.390625,-222707.4375,13,hbm/6_ROI-19,20
172@1,114599.546875,-222711.21875,13,hbm/6_ROI-19,20
173@1,116306.6484375,-222711.328125,13,hbm/6_ROI-19,20
174@1,116793.6484375,-222713.171875,13,hbm/6_ROI-19,20
175@1,114533.0234375,-222714.234375,13,hbm/6_ROI-19,21
176@1,114847.6875,-222711.859375,13,hbm/6_ROI-19,20
177@1,114911.828125,-222715.375,13,hbm/6_ROI-19,20
178@1,115402.671875,-222715.953125,13,hbm/6_ROI-19,20
179@1,117267.078125,-222713.578125,13,hbm/6_ROI-19,20
180@1,117919.0859375,-222716.4375,13,hbm/6_ROI-19,20
181@1,113889.4296875,-222714.90625,13,hbm/6_ROI-19,21
182@1,114223.0703125,-222713.21875,13,hbm/6_ROI-19,20
183@1,115698.84375,-222715.859375,13,hbm/6_ROI-19,20
184@1,115888.328125,-222717.1875,13,hbm/6_ROI-19,20
185@1,116671.1875,-222717.140625,13,hbm/6_ROI-19,21
186@1,117319.3125,-222720.0625,13,hbm/6_ROI-19,20
187@1,117768.734375,-222718.109375,13,hbm/6_ROI-19,20
188@1,117861.546875,-222719.296875,13,hbm/6_ROI-19,31
189@1,115345.0390625,-222720.9375,13,hbm/6_ROI-19,20
190@1,115468.53125,-222724.25,13,hbm/6_ROI-19,20
191@1,115594.21875,-222728.609375,13,hbm/6_ROI-19,20
192@1,116865.3828125,-222728.515625,13,hbm/6_ROI-19,20
193@1,114104.0078125,-222730.0,13,hbm/6_ROI-19,20
194@1,115770.2109375,-222735.265625,13,hbm/6_ROI-19,20
195@1,117966.9765625,-222732.203125,13,hbm/6_ROI-19,20
196@1,115063.453125,-222736.375,13,hbm/6_ROI-19,20
197@1,115550.9296875,-222734.921875,13,hbm/6_ROI-19,20
198@1,115833.4375,-222737.578125,13,hbm/6_ROI-19,20
199@1,117351.96875,-222737.421875,13,hbm/6_ROI-19,20
200@1,115508.765625,-222740.921875,13,hbm/6_ROI-19,20
201@1,116706.109375,-222738.546875,13,hbm/6_ROI-19,20
202@1,114145.453125,-222742.640625,13,hbm/6_ROI-19,20
203@1,114518.03125,-222741.0625,13,hbm/6_ROI-19,21
204@1,115381.4140625,-222743.203125,13,hbm/6_ROI-19,20
205@1,114285.0390625,-222748.375,13,hbm/6_ROI-19,20
206@1,114953.15625,-222746.6875,13,hbm/6_ROI-19,20
207@1,114998.4296875,-222744.90625,13,hbm/6_ROI-19,20
208@1,115320.734375,-222743.125,13,hbm/6_ROI-19,20
209@1,118039.7109375,-222744.515625,13,hbm/6_ROI-19,20
210@1,118105.984375,-222746.703125,13,hbm/6_ROI-19,20
211@1,114606.8515625,-222749.0625,13,hbm/6_ROI-19,20
212@1,115413.3671875,-222754.53125,13,hbm/6_ROI-19,20
213@1,113919.4140625,-222752.765625,13,hbm/6_ROI-19,20
214@1,114180.8125,-222754.078125,13,hbm/6_ROI-19,20
215@1,116835.6796875,-222752.203125,13,hbm/6_ROI-19,20
216@1,117786.5078125,-222754.71875,13,hbm/6_ROI-19,20
217@1,117320.125,-222759.296875,13,hbm/6_ROI-19,20
218@1,115591.796875,-222762.453125,13,hbm/6_ROI-19,23
219@1,115669.8984375,-222763.53125,13,hbm/6_ROI-19,20
220@1,115729.28125,-222763.078125,13,hbm/6_ROI-19,20
221@1,117823.7890625,-222764.984375,13,hbm/6_ROI-19,20
222@1,114871.25,-222767.0625,13,hbm/6_ROI-19,20
223@1,116741.734375,-222767.125,13,hbm/6_ROI-19,20
224@1,115352.546875,-222766.09375,13,hbm/6_ROI-19,20
225@1,115809.3046875,-222765.765625,13,hbm/6_ROI-19,20
226@1,116289.984375,-222767.21875,13,hbm/6_ROI-19,20
227@1,117896.4296875,-222769.09375,13,hbm/6_ROI-19,20
228@1,117283.96875,-222770.703125,13,hbm/6_ROI-19,20
229@1,117759.1171875,-222769.828125,13,hbm/6_ROI-19,20
230@1,114904.6875,-222783.1875,13,hbm/6_ROI-19,20
231@1,117364.5,-222773.515625,13,hbm/6_ROI-19,0
232@1,113829.109375,-222778.515625,13,hbm/6_ROI-19,20
233@1,115617.09375,-222778.671875,13,hbm/6_ROI-19,21
234@1,115757.171875,-222775.765625,13,hbm/6_ROI-19,20
235@1,114230.6328125,-222776.25,13,hbm/6_ROI-19,20
236@1,115014.3203125,-222779.140625,13,hbm/6_ROI-19,20
237@1,115400.421875,-222785.8125,13,hbm/6_ROI-19,20
238@1,115502.953125,-222784.046875,13,hbm/6_ROI-19,20
239@1,113874.6953125,-222782.15625,13,hbm/6_ROI-19,20
240@1,114440.7265625,-222784.125,13,hbm/6_ROI-19,20
241@1,114543.1328125,-222781.40625,13,hbm/6_ROI-19,20
242@1,115050.4296875,-222782.5,13,hbm/6_ROI-19,20
243@1,115862.734375,-222787.578125,13,hbm/6_ROI-19,20
244@1,118098.6796875,-222784.65625,13,hbm/6_ROI-19,20
245@1,114175.9140625,-222791.453125,13,hbm/6_ROI-19,20
246@1,115585.4765625,-222794.671875,13,hbm/6_ROI-19,21
247@1,115695.0859375,-222790.984375,13,hbm/6_ROI-19,20
248@1,116785.9140625,-222789.28125,13,hbm/6_ROI-19,20
249@1,117313.421875,-222791.6875,13,hbm/6_ROI-19,20
