Cell Id,Nuc X,Nuc Y Inv,region_num,unique_region,leiden
1@1,91490.3125,-165006.09375,18,hbm/1_ROI-05,0
2@1,91754.3203125,-165018.09375,18,hbm/1_ROI-05,0
3@1,91437.828125,-165028.15625,18,hbm/1_ROI-05,0
4@1,91126.7421875,-165053.84375,18,hbm/1_ROI-05,14
5@1,90678.9140625,-165062.984375,18,hbm/1_ROI-05,0
6@1,91453.625,-165082.828125,18,hbm/1_ROI-05,0
7@1,91377.78125,-165089.859375,18,hbm/1_ROI-05,0
8@1,90618.7109375,-165098.375,18,hbm/1_ROI-05,0
9@1,91538.8515625,-165118.90625,18,hbm/1_ROI-05,0
10@1,91325.953125,-165125.078125,18,hbm/1_ROI-05,0
11@1,91974.359375,-165127.03125,18,hbm/1_ROI-05,0
12@1,92003.828125,-165128.046875,18,hbm/1_ROI-05,0
13@1,90473.8515625,-165128.21875,18,hbm/1_ROI-05,0
14@1,91909.1640625,-165133.546875,18,hbm/1_ROI-05,0
15@1,91288.609375,-165145.828125,18,hbm/1_ROI-05,0
16@1,92020.9375,-165156.671875,18,hbm/1_ROI-05,24
17@1,92094.921875,-165158.90625,18,hbm/1_ROI-05,0
18@1,92057.875,-165165.96875,18,hbm/1_ROI-05,24
19@1,91859.8046875,-165170.375,18,hbm/1_ROI-05,0
20@1,91813.6953125,-165170.484375,18,hbm/1_ROI-05,0
21@1,91048.671875,-165173.015625,18,hbm/1_ROI-05,0
22@1,91917.8828125,-165175.1875,18,hbm/1_ROI-05,21
23@1,92241.8515625,-165177.40625,18,hbm/1_ROI-05,0
24@1,90227.609375,-165179.734375,18,hbm/1_ROI-05,0
25@1,91348.7734375,-165182.109375,18,hbm/1_ROI-05,0
26@1,92370.8828125,-165188.3125,18,hbm/1_ROI-05,0
27@1,91290.03125,-165194.21875,18,hbm/1_ROI-05,0
28@1,90483.2890625,-165196.703125,18,hbm/1_ROI-05,0
29@1,90527.265625,-165200.234375,18,hbm/1_ROI-05,24
30@1,92167.7734375,-165197.40625,18,hbm/1_ROI-05,0
31@1,90564.34375,-165203.59375,18,hbm/1_ROI-05,0
32@1,90280.078125,-165205.84375,18,hbm/1_ROI-05,0
33@1,91826.78125,-165204.84375,18,hbm/1_ROI-05,21
34@1,91889.9765625,-165204.4375,18,hbm/1_ROI-05,20
35@1,92284.8828125,-165212.875,18,hbm/1_ROI-05,0
36@1,92242.9921875,-165215.8125,18,hbm/1_ROI-05,0
37@1,92212.9375,-165226.921875,18,hbm/1_ROI-05,0
38@1,90146.5625,-165231.515625,18,hbm/1_ROI-05,0
39@1,90197.078125,-165235.296875,18,hbm/1_ROI-05,0
40@1,91613.96875,-165235.765625,18,hbm/1_ROI-05,24
41@1,91667.8828125,-165237.78125,18,hbm/1_ROI-05,25
42@1,92372.25,-165241.921875,18,hbm/1_ROI-05,26
43@1,90467.046875,-165244.96875,18,hbm/1_ROI-05,0
44@1,90237.265625,-165248.84375,18,hbm/1_ROI-05,21
45@1,90114.1875,-165249.4375,18,hbm/1_ROI-05,0
46@1,92265.3125,-165249.84375,18,hbm/1_ROI-05,0
47@1,92588.6015625,-165254.0625,18,hbm/1_ROI-05,0
48@1,92316.3984375,-165260.34375,18,hbm/1_ROI-05,26
49@1,92214.359375,-165264.125,18,hbm/1_ROI-05,0
50@1,90168.7734375,-165268.65625,18,hbm/1_ROI-05,0
51@1,92410.6328125,-165273.65625,18,hbm/1_ROI-05,0
52@1,91580.8203125,-165274.734375,18,hbm/1_ROI-05,26
53@1,90357.5234375,-165282.890625,18,hbm/1_ROI-05,0
54@1,92508.765625,-165282.109375,18,hbm/1_ROI-05,14
55@1,90854.265625,-165285.421875,18,hbm/1_ROI-05,0
56@1,90244.09375,-165289.203125,18,hbm/1_ROI-05,21
57@1,90446.1953125,-165289.328125,18,hbm/1_ROI-05,0
58@1,92373.9140625,-165286.734375,18,hbm/1_ROI-05,0
59@1,90283.125,-165294.0625,18,hbm/1_ROI-05,0
60@1,92185.2890625,-165288.3125,18,hbm/1_ROI-05,0
61@1,92285.59375,-165293.796875,18,hbm/1_ROI-05,26
62@1,89911.25,-165300.625,18,hbm/1_ROI-05,0
63@1,90211.359375,-165303.875,18,hbm/1_ROI-05,0
64@1,90508.5234375,-165305.09375,18,hbm/1_ROI-05,0
65@1,90570.515625,-165305.109375,18,hbm/1_ROI-05,0
